COLUMN_NAME,TABLE_NAME,DATA_TYPE,DESCRIPTION
ABCKZ,Wamas.ART,nvarchar,ABC-Wert-Analyse
ABCLIMIT_WERT,Wamas.ART,nvarchar,
ABCWERT,Wamas.ART,float,ABC-Wert
ABCWERT,Wamas.FES,float,ABC-Wert
ABSCHLSTATUS,Wamas.ART,nvarchar,Abschliessen erlauben ab
AID_ARTNR,Wamas.ART,nvarchar,Artikelnummer
AID_AUSPR,Wamas.ART,float,Ausprägung
AID_MAND,Wamas.ART,nvarchar,Mandant
AID_VAR,Wamas.ART,nvarchar,Variante
AKS_ARTKLASSE,Wamas.ART,nvarchar,Artikelklasse
ALTAID_ARTNR,Wamas.ART,nvarchar,Artikelnummer
ALTAID_AUSPR,Wamas.ART,float,Ausprägung
ALTAID_MAND,Wamas.ART,nvarchar,Mandant
ALTAID_VAR,Wamas.ART,nvarchar,Variante
ANBRUCHANZERL,Wamas.ART,nvarchar,Anbruch Anzeigeeinheit erlaubt
ANEWLPSEARCH,Wamas.FES,nvarchar,Erneute LP-Suche
ANZEIGE_EINHEIT,Wamas.ART,nvarchar,Anzeigeeinheit
ARTBEZ,Wamas.ART,nvarchar,Artikelbezeichnung
ARTBEZ2,Wamas.ART,nvarchar,Artikelbezeichnung 2
ARTGRP,Wamas.ART,nvarchar,Artikelgruppe
ARTKOMGRP_ARTKOMGRPID,Wamas.ART,nvarchar,Artikelkommissionierstrategie
ARTKTOKZ,Wamas.ART,nvarchar,Artikelkontoführung
ARTMISCHERL,Wamas.ART,nvarchar,Artikel mischen erlaubt
ARTSTAT_ARTSTATGRP,Wamas.ART,nvarchar,Artikelgruppe Stat.
ARTTYP,Wamas.ART,nvarchar,Artikeltyp
ASCODE_ACODE,Wamas.ART,nvarchar,Abschlusscode
AUS_SCHEMA,Wamas.ART,nvarchar,Auslagerungsschema
AUSK_ABLADESTELLE,Wamas.P_AUSK,nvarchar,Abladestelle
AUSK_ADRS_ADR,Wamas.P_AUSK,nvarchar,Adresse
AUSK_ADRS_ADR2,Wamas.P_AUSK,nvarchar,Adresse 2
AUSK_ADRS_ANREDE,Wamas.P_AUSK,nvarchar,Anrede
AUSK_ADRS_EMAIL,Wamas.P_AUSK,nvarchar,e-mail
AUSK_ADRS_FAX,Wamas.P_AUSK,nvarchar,Faxnummer
AUSK_ADRS_ILN,Wamas.P_AUSK,nvarchar,ILN/GLN
AUSK_ADRS_LAND,Wamas.P_AUSK,nvarchar,Land
AUSK_ADRS_NAME,Wamas.P_AUSK,nvarchar,Name
AUSK_ADRS_NAME2,Wamas.P_AUSK,nvarchar,Name 2
AUSK_ADRS_NAME3,Wamas.P_AUSK,nvarchar,Name 3
AUSK_ADRS_NAME4,Wamas.P_AUSK,nvarchar,Name 4
AUSK_ADRS_ORT,Wamas.P_AUSK,nvarchar,Ort
AUSK_ADRS_ORTTEIL,Wamas.P_AUSK,nvarchar,Ortsteil
AUSK_ADRS_PLZ,Wamas.P_AUSK,nvarchar,Postleitzahl
AUSK_ADRS_TEL,Wamas.P_AUSK,nvarchar,Telefon
AUSK_ADRS_WWW,Wamas.P_AUSK,nvarchar,Homepage
AUSK_ANDRUCKKUNR,Wamas.P_AUSK,nvarchar,Kundennummer
AUSK_ANZPOS,Wamas.P_AUSK,float,Anzahl Positionen
AUSK_ART_AID_ARTNR,Wamas.P_AUSK,nvarchar,
AUSK_ART_AID_AUSPR,Wamas.P_AUSK,float,
AUSK_ART_AID_MAND,Wamas.P_AUSK,nvarchar,
AUSK_ART_AID_VAR,Wamas.P_AUSK,nvarchar,
AUSK_AUSID_AUSNR,Wamas.P_AUSK,nvarchar,Auftragsnummer
AUSK_AUSID_HOSTAUSKZ,Wamas.P_AUSK,nvarchar,Host Ausgangskennzeichen
AUSK_AUSID_MAND,Wamas.P_AUSK,nvarchar,Mandant
AUSK_AUTOTOURKZ,Wamas.P_AUSK,nvarchar,autom. Tour Starten
AUSK_AUTOVERPLKZ,Wamas.P_AUSK,nvarchar,autom. Freigabe
AUSK_AUTYP_TYP,Wamas.P_AUSK,nvarchar,Auftragstyp
AUSK_BATCHKOMPFLKZ,Wamas.P_AUSK,nvarchar,Batch-Kommissionierung Pflicht
AUSK_BEARBZEIT,Wamas.P_AUSK,datetime,Bearbeitungszeit
AUSK_BEREITSTELLTERMIN,Wamas.P_AUSK,datetime,möglicher Bereitstellzeitpunkt
AUSK_BEREITSTELLZEITPUNKT,Wamas.P_AUSK,nvarchar,Bereitstellzeitpunkt
AUSK_BESTZEIT,Wamas.P_AUSK,datetime,Bestellzeit
AUSK_ENDEMPFADRS_ADR,Wamas.P_AUSK,nvarchar,Adresse
AUSK_ENDEMPFADRS_ADR2,Wamas.P_AUSK,nvarchar,Adresse 2
AUSK_ENDEMPFADRS_ANREDE,Wamas.P_AUSK,nvarchar,Anrede
AUSK_ENDEMPFADRS_EMAIL,Wamas.P_AUSK,nvarchar,e-mail
AUSK_ENDEMPFADRS_FAX,Wamas.P_AUSK,nvarchar,Faxnummer
AUSK_ENDEMPFADRS_ILN,Wamas.P_AUSK,nvarchar,ILN/GLN
AUSK_ENDEMPFADRS_LAND,Wamas.P_AUSK,nvarchar,Land
AUSK_ENDEMPFADRS_NAME,Wamas.P_AUSK,nvarchar,Name
AUSK_ENDEMPFADRS_NAME2,Wamas.P_AUSK,nvarchar,Name 2
AUSK_ENDEMPFADRS_NAME3,Wamas.P_AUSK,nvarchar,Name 3
AUSK_ENDEMPFADRS_NAME4,Wamas.P_AUSK,nvarchar,Name 4
AUSK_ENDEMPFADRS_ORT,Wamas.P_AUSK,nvarchar,Ort
AUSK_ENDEMPFADRS_ORTTEIL,Wamas.P_AUSK,nvarchar,Ortsteil
AUSK_ENDEMPFADRS_PLZ,Wamas.P_AUSK,nvarchar,Postleitzahl
AUSK_ENDEMPFADRS_TEL,Wamas.P_AUSK,nvarchar,Telefon
AUSK_ENDEMPFADRS_WWW,Wamas.P_AUSK,nvarchar,Homepage
AUSK_EXTREF,Wamas.P_AUSK,nvarchar,externe Referenz
AUSK_FERTZEIT,Wamas.P_AUSK,datetime,Fertigzeit
AUSK_FORCETOURPERORDERKZ,Wamas.P_AUSK,nvarchar,Tour pro Auftrag zwingend
AUSK_FRANKATUR,Wamas.P_AUSK,nvarchar,Frankatur
AUSK_GANZTERESZEITP,Wamas.P_AUSK,datetime,Ganz-TE Reservierungszeitpunkt
AUSK_GEPL2STEP_LAGRF,Wamas.P_AUSK,nvarchar,gepl. Lagerreihenfolge 2.Stufe
AUSK_GEPLBEREITTERM,Wamas.P_AUSK,datetime,geplanter Bereitstelltermin
AUSK_GEPLEINSTRAT_LAGRF,Wamas.P_AUSK,nvarchar,gepl. Lagerreihenfolge
